attribute,review_id,sentiment,evidence,confidence,review_title,review_text,review_rating
price,1476965950000,positive,Good price.,1.0,Five Stars,Good product good price. Had to deal with other crap keurig filters and these work.,5.0
price,1506479195289,positive,You will save a lot of money over purchasing the K cups.,1.0,I would recommend them. You will save a lot of money ...,Work well. I would recommend them. You will save a lot of money over purchasing the K cups.,4.0
price,1513305116945,positive,Good pricing,1.0,Best for 2.0 brewers!,These work great in 2.0 brewers the old cups caused problems with grounds in the coffee.  Good pricing and fast delivery!,5.0
compatibility,1476965950000,positive,works.,1.0,Five Stars,Good product good price. Had to deal with other crap keurig filters and these work.,5.0
compatibility,1561819007303,positive, Works perfectly in the machines,0.9,Nice utility,"I’m not a huge fan of Kuerig, but this makes it bearable by allowing me to load up my own pods!  Works perfectly in the machines and is easy to clean.",5.0
compatibility,1626973764433,positive,As advertised,1.0,As advertised,As advertised,4.0
compatibility,1518653549215,positive,fits my two different Carrigg coffee pots,1.0,Great feel fits my two different Carrigg coffee pots,"Great feel fits my two different Carrigg coffee pots, you can also save money by buying regular canisters of coffee! Great for gifting with some awesome coffee!",5.0
compatibility,1513305116945,positive,These work great in 2.0 brewers,1.0,Best for 2.0 brewers!,These work great in 2.0 brewers the old cups caused problems with grounds in the coffee.  Good pricing and fast delivery!,5.0
compatibility,1589216763239,positive,I'm using them exclusively now,1.0,Great investment,It's so simple to use and saves so much money over the K-cups. Plus I can use any flavor coffee I want without extra expense. I'm using them exclusively now.,5.0
compatibility,1546533819498,negative,I bought these for my Hamilton Beach coffee maker. These didn't fit I couldn't close the cover. I also bought my Mom a single cup coffee maker and these didn't fit hers either.,1.0,DIDN'T  FIT,I bought these for my Hamilton Beach coffee maker.  These didn't fit I couldn't close the cover.  I also bought my Mom a single cup coffee maker and these didn't fit hers either.,1.0
compatibility,1477538235000,positive,Works great and fit well,1.0,Five Stars,Works great and fit well also.,5.0
compatibility,1517527328214,positive,works great,1.0,"Take that, K-Cups! Ha ha.","This product is great -- it appears to be built to very tight tolerances (the lid has a mini o-ring for a very tight seal), which works great. Just a suggestion -- as consumers are getting more and more concerned about leached chemicals from plastics, and seem to believe that silicone is a better alternative, it is probably time to investigate how to replace the plastics in this product with silicone.",5.0
prev_product_experience,1476965950000,negative,had to deal with other crap keurig filters,1.0,Five Stars,Good product good price. Had to deal with other crap keurig filters and these work.,5.0
prev_product_experience,1561819007303,negative,I’m not a huge fan of Kuerig,0.9,Nice utility,"I’m not a huge fan of Kuerig, but this makes it bearable by allowing me to load up my own pods!  Works perfectly in the machines and is easy to clean.",5.0
prev_product_experience,1608511711312,negative,I had a Keurig reusable cup and it leaked horribly,1.0,,,
prev_product_experience,1618966993007,positive,"Very pleased with this product, no complaints",1.0,They work great!,"Very pleased with this product, no complaints",5.0
