attribute,review_id,sentiment,evidence,confidence,review_title,review_text,review_rating
durability,1476885524000,negative,For some reason the left side has lost connectivity somewhere and now it wont play sound. I woke up one morning to notice it didnt work anymore.,1.0,It died too young :(,"Well.. it was great while it lasted.<br />For some reason the left side has lost connectivity somewhere and now it wont play sound. I never treated it badly, it stays at my computer desk. I woke up one morning to notice it didnt work anymore. It'd a shame because these headphones were amazing while they lasted..<br /><br />I would rate it a 5 for sound quality and value, but a 4 because they broke so unexpectedly.",4.0
durability,1457725379000,negative,BIT FLIMSY,1.0,Three Stars,GOOD SOUND BUT A BIT FLIMSY.  WON'T BUY AGAIN,3.0
durability,1427984073000,mixed,I've had these headphones for a little over 2 years and... one of the cords has separated from the ear piece and is not repairable.,0.7,"great product, very little to complain about","I've had these headphones for a little over 2 years and they are very comfortable and pretty good sound. Unfortunately one of the cords has separated from the ear piece and is not repairable. I cant say if this is due to rough usage (i am pretty careful with my things) or due to the cord being too flimsy. Either way, i am purchasing the same model to replace it because you cant beat the quality for the price.",4.0
durability,1463775230000,positive,"So far, so good. They have survived multiple trips to the local library and one overseas trip.",0.9,Great value for the price.,"So far, so good. Bought these a couple of months ago and they have survived multiple trips to the local library and one overseas trip. No noise cancelling headphones but they are great for the money. Would recommend.",5.0
comfort,1355694017000,positive,"When you really don't want anyone or anything interrupting you, these headphones are fantastic. They're large enough to comfortably cover your ears",1.0,Big and wonderful,"When you really don't want anyone or anything interrupting you, these headphones are fantastic. They're large enough to comfortably cover your ears and block outside noise, while providing clear audio for both spoken content and music. The cord is long enough to reach a computer under your desk when working or the device in your pocket when exercising. Their appearance also clearly states &#34;I can't hear you&#34; so people don't mistakenly attempt to communicate with you while you're wearing them.",5.0
comfort,1385673698000,positive,Great fit.,1.0,Great sound.,Great sound very real. The long cord gives me the mobility I need speacilly when I'm broadcasting in my radio show. Great fit.,5.0
comfort,1449698272000,mixed,They do become slightly uncomfortable if I wear them for too many hours at a time,1.0,"The sound is fine, and I love the super long cord and ...","I use these at my desk at work, and also while playing keyboard. They do become slightly uncomfortable if I wear them for too many hours at a time, but most headphones do when you wear eyeglasses.<br />The sound is fine, and I love the super long cord and that there's a way to shorten it!",4.0
comfort,1331077411000,positive,These headphones are comfortable.,1.0,Amazing sound! Strong bass,"These headphones are comfortable and provide amazing sound. The bass is strong, which I like. The quality seems good so far although I've only had these for a few weeks.",5.0
comfort,1437586485000,positive,they feel very soft,1.0,"Excellent purchase, great price","I use this at work and they're great. I've always been iffy about buying headsets online since you cannot really try them on for a fit, but as I read in other reviews, you can adjust them for a better fit by leaving them overnight to stretch using books. I stretch them everyday for more comfortable fit. Overall, they work great and they feel very soft.",4.0
comfort,1445745581000,mixed,These are 1 star away from 5 due to the fact that sometimes they do bother my ears after long usage.,0.8,But overall pretty good earphones for the price,These are 1 star away from 5 due to the fact that sometimes they do bother my ears after long usage. I'm noticing it depends on how I place them. But overall pretty good earphones for the price.,4.0
comfort,1452349469000,mixed,they can't get a bit uncomfortable when being worn a long time,0.8,they sound good. The cord is really long but I like ...,"I am not an audiophile so I can't speak much to the quality of these. To my untrained ears, they sound good. The cord is really long but I like that.  The one thing is that they can't get a bit uncomfortable when being worn a long time (like over 2 hrs).",4.0
comfort,1318621788000,negative,They are a little tight and become uncomfortable after hours of wear.,1.0,Nice Headphones,They are a little tight and become uncomfortable after hours of wear. I was really surprised by how long the wire was though. It's around ten feet long.,4.0
comfort,1427984073000,positive,very comfortable,1.0,"great product, very little to complain about","I've had these headphones for a little over 2 years and they are very comfortable and pretty good sound. Unfortunately one of the cords has separated from the ear piece and is not repairable. I cant say if this is due to rough usage (i am pretty careful with my things) or due to the cord being too flimsy. Either way, i am purchasing the same model to replace it because you cant beat the quality for the price.",4.0
comfort,1398869177000,positive,My wife loves it.,1.0,Great set,My wife loves it. She uses it for movies and clips. I recommend this to all my friends. So get one!,4.0
comfort,1474420688000,positive,comfortable fit.,1.0,Four Stars,good sound. comfortable fit.,4.0
comfort,1487138232000,mixed,sitting on my earlobes.,0.5,Wish the cups were bigger.,"Just rcvd it today and am a tad disappointed that the ear cups are not larger.  I was expecting them to fit all the way around my apparently huge ears, but these wont, sitting on my earlobes.",3.0
noise_isolation,1355694017000,positive,They're large enough to comfortably cover your ears and block outside noise,1.0,Big and wonderful,"When you really don't want anyone or anything interrupting you, these headphones are fantastic. They're large enough to comfortably cover your ears and block outside noise, while providing clear audio for both spoken content and music. The cord is long enough to reach a computer under your desk when working or the device in your pocket when exercising. Their appearance also clearly states &#34;I can't hear you&#34; so people don't mistakenly attempt to communicate with you while you're wearing them.",5.0
design,1355694017000,positive,"Their appearance also clearly states ""I can't hear you"" so people don't mistakenly attempt to communicate with you while you're wearing them.",1.0,Big and wonderful,"When you really don't want anyone or anything interrupting you, these headphones are fantastic. They're large enough to comfortably cover your ears and block outside noise, while providing clear audio for both spoken content and music. The cord is long enough to reach a computer under your desk when working or the device in your pocket when exercising. Their appearance also clearly states &#34;I can't hear you&#34; so people don't mistakenly attempt to communicate with you while you're wearing them.",5.0
cord_length,1355694017000,positive,The cord is long enough to reach a computer under your desk when working or the device in your pocket when exercising.,1.0,Big and wonderful,"When you really don't want anyone or anything interrupting you, these headphones are fantastic. They're large enough to comfortably cover your ears and block outside noise, while providing clear audio for both spoken content and music. The cord is long enough to reach a computer under your desk when working or the device in your pocket when exercising. Their appearance also clearly states &#34;I can't hear you&#34; so people don't mistakenly attempt to communicate with you while you're wearing them.",5.0
