attribute,review_id,sentiment,evidence,confidence,review_title,review_text,review_rating
led_light,1411581654000,positive,I like the LED's,1.0,Brighten up your life,"I like the LED's.  For a safety light,  when the power goes out, you can't beat the price.  It doesn't take a special battery as the ad suggest.  A standard 6V square battery is just fine.  Because it's LED, the battery will last a whole lot longer.  The case is a little flimsy and not waterproof, but you can't expect everything for the price. That's the only reason for the 4 star rating",4.0
led_light,1548614656424,positive,This flashlight features an array of several LED light sources,1.0,"Bright, multi-LED flashlight","This flashlight features an array of several LED light sources, which promises better service life than standard flashlight incandescent bulb.  The first unit bought from Amazon arrived with a cracked housing, which they cheerfully replaced in 2 days, and they told me to keep the cracked unit (for spare parts?).  Thanks, Amazon !",5.0
led_light,1483891728000,positive,I like the LED,1.0,Four Stars,as advertised and I like the LED,4.0
led_light,1579182287040,positive,it lit up the whole room,1.0,Reccomended,We used it one night when the power went out and it lit up the whole room. We bought it for the hurricane but thnkfully it didnt hit us!,5.0
battery_life,1411581654000,positive,"Because it's LED, the battery will last a lot longer.",1.0,Brighten up your life,"I like the LED's.  For a safety light,  when the power goes out, you can't beat the price.  It doesn't take a special battery as the ad suggest.  A standard 6V square battery is just fine.  Because it's LED, the battery will last a whole lot longer.  The case is a little flimsy and not waterproof, but you can't expect everything for the price. That's the only reason for the 4 star rating",4.0
battery_life,1496981063000,mixed,worked great for 1 month,0.8,worked great for 1 month then stopped working,worked great for 1 month then stopped working. spent money on a new battery but that wasn't the problem. problem is this product is crap.,1.0
battery_life,1580677794191,mixed,says it will last 30 hours.,0.8,Wimpy light. Amazon can't seem to deliver accurately these days,"Amazon listing indicated 10 LED flashlight that would last 45 hours. I received a 7 LED flashlight that says it will last 30 hours.  I wasn't expecting an awesome flashlight at $5, but I was expecting to at least get what I ordered. Second mess up from Amazon in as many weeks.",2.0
battery_life,1587416790230,mixed,One lantern works great! It's really bright and doesn't flicker.,0.9,Works great with a working battery,"I ordered two of these - one for each of our cars. One lantern works great! It's really bright and doesn't flicker. The other lantern is very DIM and flickers, so I can only assume the battery is faulty, bc I tried the battery in both lanterns, and they both were dim. I don't think I should have to pay for another battery out of my pocket, since I already paid for one! So we'll see what the company says. I'd give this rating 5 stars if the battery actually worked.",2.0
battery_life,1673143503075,positive,6v will last for awhile,0.9,Lantern is excellent!!!,This lantern is excellent!! Bright and lights big area!! 6v will last for awhile! Those AAA ones just eat batteries!!!!!!!,5.0
price,1411581654000,positive,you can't beat the price.,1.0,Brighten up your life,"I like the LED's.  For a safety light,  when the power goes out, you can't beat the price.  It doesn't take a special battery as the ad suggest.  A standard 6V square battery is just fine.  Because it's LED, the battery will last a whole lot longer.  The case is a little flimsy and not waterproof, but you can't expect everything for the price. That's the only reason for the 4 star rating",4.0
price,1595519569675,positive,The cost of this lantern is less expensive than just a battery.,1.0,It is a bargain for the price.,I did not expect much since it was so inexpensive but I was pleasantly surprised.  It is bright.  I mean BRIGHT.  The power goes off here in Fl. often and I can always find it due to the size.  I ought to buy more one for every room.  The cost of this lantern is less expensive than just a battery.  The seller was easy to deal with.  The first one was defective and he replaced it right away.,5.0
price,1594600580908,positive,because the price was so good,1.0,lightweight and powerful,Got this lantern because the price was so good - recommending it because it is so lightweight and powerful! Everyone needs a backup light- this is the perfect one! Can't beat the price,5.0
price,1578952311159,positive,Great Light for price!,1.0,Great Light for price!,"Nice brightness, alot brighter than the reviews lead me to believe. Nice cool white light, no warm yellow tone. Awesome for the price. Recommend it to anyone!",5.0
price,1601900704009,positive,The price makes possible to keep a few extra...,1.0,Buy a few.  Well worth the money!!!,"Very good product for the money.  Bright, strong light.  I would say everyone should have a few of these in the house just in case the electricity goes out and in your car in case your break down somewhere.  Also good for working in dark spaces.  The price makes possible to keep a few extra.  When the electricity went out from the last storm, I was able to give a couple to my neighbor and it wasn’t a big hit to my pocket and they were so greatful to have a source of light at night.",5.0
case_quality,1411581654000,negative,The case is a little flimsy,1.0,Brighten up your life,"I like the LED's.  For a safety light,  when the power goes out, you can't beat the price.  It doesn't take a special battery as the ad suggest.  A standard 6V square battery is just fine.  Because it's LED, the battery will last a whole lot longer.  The case is a little flimsy and not waterproof, but you can't expect everything for the price. That's the only reason for the 4 star rating",4.0
case_quality,1619675029127,negative,terribly cheap plastic.,1.0,Can't survive shipping,First on arrived cracked. Replacement arrived cracked. Will tape and keep as at least I have the battery and it works... terribly cheap plastic.,2.0
case_quality,1587528280585,negative,This is very lightweight and is made of a cheaper plastic.,1.0,Bad connection or bad battery,"I have tried every angle imaginable of positions for the batter pack, but alas, I cannot get this to turn on. Not sure if it’s a bad battery or bad connection.<br /><br />This is very lightweight and is made of a cheaper plastic. If it turned on, I wouldn’t have any complaints.<br /><br />But I can’t use a flashlight that doesn't have a light..<br /><br />After reading other reviews, I wouldn’t purchase another one.",2.0
waterproofing,1411581654000,negative,it's not waterproof,1.0,Brighten up your life,"I like the LED's.  For a safety light,  when the power goes out, you can't beat the price.  It doesn't take a special battery as the ad suggest.  A standard 6V square battery is just fine.  Because it's LED, the battery will last a whole lot longer.  The case is a little flimsy and not waterproof, but you can't expect everything for the price. That's the only reason for the 4 star rating",4.0
waterproofing,1519167201209,positive,Definitely rain proof.,1.0,Worth every penny. Got three for the earthquake kit ...,Worth every penny.  Got three for the earthquake kit.  Definitely rain proof.  Probably water proof to at least five feet for an hour.,4.0
durability,1496981063000,negative,this product is crap,1.0,worked great for 1 month then stopped working,worked great for 1 month then stopped working. spent money on a new battery but that wasn't the problem. problem is this product is crap.,1.0
durability,1548614656424,positive,They cheerfully replaced the cracked housing,0.8,"Bright, multi-LED flashlight","This flashlight features an array of several LED light sources, which promises better service life than standard flashlight incandescent bulb.  The first unit bought from Amazon arrived with a cracked housing, which they cheerfully replaced in 2 days, and they told me to keep the cracked unit (for spare parts?).  Thanks, Amazon !",5.0
durability,1593694439770,negative,It sort of worked for a couple of hours.,1.0,More junk for the landfill,It sort of worked for a couple of hours. Total junk.,1.0
usability,1568419902087,positive,I came online and read a review from someone who said there's a cone over one of the connectors that has to be removed. I had thought it was part of the battery and didn't realize it needed to come off. It finally works.,1.0,Finally got it to work,I could not get this to work and was ready to throw it out and take the loss.  I came online and read a review from someone who said there's a cone over one of the connectors that has to be removed.  I had thought it was part of the battery and didn't realize it needed to come off.  It finally works.,3.0
usability,1602785064108,positive,Works great!,1.0,Works great! But one came in broke on the handle,Works great!,4.0
usability,1606174133231,mixed,was kinda hard to get the battery in.,0.8,got to have just in case,got to have just in case. Was kinda hard to get the battery in. is ok. nice to have on hand just in case.,3.0
brightness,1587430227206,negative,Beam dimmer than I expected,1.0,Would not recommend,Beam dimmer than I expected,3.0
brightness,1595519569675,positive,I mean BRIGHT. ,1.0,It is a bargain for the price.,I did not expect much since it was so inexpensive but I was pleasantly surprised.  It is bright.  I mean BRIGHT.  The power goes off here in Fl. often and I can always find it due to the size.  I ought to buy more one for every room.  The cost of this lantern is less expensive than just a battery.  The seller was easy to deal with.  The first one was defective and he replaced it right away.,5.0
brightness,1578952311159,positive,"Nice brightness, alot brighter than the reviews lead me to believe.",1.0,Great Light for price!,"Nice brightness, alot brighter than the reviews lead me to believe. Nice cool white light, no warm yellow tone. Awesome for the price. Recommend it to anyone!",5.0
brightness,1601900704009,positive,"Bright, strong light.",1.0,Buy a few.  Well worth the money!!!,"Very good product for the money.  Bright, strong light.  I would say everyone should have a few of these in the house just in case the electricity goes out and in your car in case your break down somewhere.  Also good for working in dark spaces.  The price makes possible to keep a few extra.  When the electricity went out from the last storm, I was able to give a couple to my neighbor and it wasn’t a big hit to my pocket and they were so greatful to have a source of light at night.",5.0
brightness,1673143503075,positive,This lantern is excellent!! Bright and lights big area!!,0.9,Lantern is excellent!!!,This lantern is excellent!! Bright and lights big area!! 6v will last for awhile! Those AAA ones just eat batteries!!!!!!!,5.0
weight,1594600580908,positive,it is so lightweight,1.0,lightweight and powerful,Got this lantern because the price was so good - recommending it because it is so lightweight and powerful! Everyone needs a backup light- this is the perfect one! Can't beat the price,5.0
power,1594600580908,positive,and powerful!,1.0,lightweight and powerful,Got this lantern because the price was so good - recommending it because it is so lightweight and powerful! Everyone needs a backup light- this is the perfect one! Can't beat the price,5.0
battery_type,1571232881763,negative,"The product description clearly states, in two different places, this lantern comes with an alkaline battery. It does not.",0.9,Flat out lied...,"The product description clearly states, in two different places, this lantern comes with an alkaline battery.  It does not.  It doesn't even come with a heavy duty battery.  The price is good, the lantern is OK quality, but I just don't like being lied to.  I'm not going to go to the trouble of returning it as it does work.  I guess I'll just dig a little deeper into the reviews before I purchase things in the future.  I was in a hurry so I didn't get as much information as I should have.  My mistake.",1.0
water_resistance,1519167201209,positive,Probably water proof to at least five feet for an hour.,0.9,Worth every penny. Got three for the earthquake kit ...,Worth every penny.  Got three for the earthquake kit.  Definitely rain proof.  Probably water proof to at least five feet for an hour.,4.0
